club,nation,league,name,rating,position,price,card_types
Manchester Utd,Netherlands,Premier League,Timothy Fosu-Mensah,73,RB,5.2K,silver non-rare
Club Brugge,Uruguay,1A Pro League (BEL 1),Federico Ricca,73,LB,800,silver rare
Atalanta,Argentina,Serie A TIM,Cristian Romero,73,CB,900,silver rare
Rosario Central ,Uruguay,Primera División (ARG 1),Diego Zabala,73,RM,450,silver rare
Bielefeld,Japan,Bundesliga,Ritsu Doan,73,RM,800,silver rare
Banfield,Argentina,Primera División (ARG 1),Claudio Bravo,73,LB,600,silver rare
Boavista FC,Nigeria,Liga NOS (POR 1),Chidozie Awaziem,73,CB,350,silver rare
Yokohama F･M,Japan,Meiji Yasuda J1 (JPN 1),Teruhito Nakagawa,73,RM,400,silver rare
Gamba Osaka,Japan,Meiji Yasuda J1 (JPN 1),Gen Shoji,73,CB,400,silver rare
Angers SCO,Portugal,Ligue 1 Conforama,Mathias Pereira Lage,73,LM,500,silver rare
Kawasaki-F,Japan,Meiji Yasuda J1 (JPN 1),Yu Kobayashi,73,ST,400,silver rare
AFC Bournemouth,Wales,EFL Championship (ENG 2),Chris Mepham,73,CB,500,silver rare
RB Salzburg,Denmark,Ö Bundesliga (AUT 1),Rasmus Nissen Kristensen,73,RB,300,silver non-rare
Fenerbahçe,Slovenia,Süper Lig (TUR 1),Miha Zajc,73,CAM,0,silver rare
Spartak Moscow,Russia,League of Russia (RUS 1),Alexandr Maksimenko,73,GK,350,silver rare
Gaziantep,Brazil,Süper Lig (TUR 1),Morais Júnior,73,LWB,500,silver rare
Argentinos Jrs.,Argentina,CONMEBOL Sudamericana,Carlos Quintana,73,CB,1.8K,sudamericana silver rare
Troyes,Morocco,Ligue 2 (FRA 2),Oualid El Hajjam,73,RB,650,silver non-rare
Royal Antwerp FC,Cameroon,1A Pro League (BEL 1),Didier Lamkel Ze,73,LM,450,silver rare
M'gladbach,Slovakia,Bundesliga,László Bénes,73,CM,850,silver rare
Granada CF,Cameroon,LaLiga Santander,Yan Brice Eteki,73,CDM,550,silver non-rare
Bologna,Netherlands,Serie A TIM,Jerdy Schouten,73,CDM,600,silver rare
Santos Laguna,Mexico,LIGA BBVA MX (MEX 1),Carlos Acevedo,73,GK,200,silver non-rare
OGC Nice,France,Ligue 1 Conforama,Patrick Burner,73,RB,10K,silver non-rare
LOSC,Mozambique,Ligue 1 Conforama,Reinildo Isnard Mandava,73,LB,600,silver non-rare
Reading,England,EFL Championship (ENG 2),Ovie Ejaria,73,CM,900,silver rare
FC Emmen,Peru,Eredivisie (NED 1),Sergio Peña,73,CAM,350,silver rare
León,Peru,LIGA BBVA MX (MEX 1),Pedro Aquino,73,CDM,750,silver non-rare
LAFC,Colombia,Major League Soccer (MLS),Eduard Atuesta,73,CDM,400,silver rare
AS Monaco,France,Ligue 1 Conforama,Fodé Ballo-Touré,73,LB,1.5K,silver rare
IFK Norrköping,Sweden,Allsvenskan (SWE 1),Isak Pettersson,73,GK,900,silver rare
BSC Young Boys,Switzerland,Raiffeisen Super L. (SUI 1),Michel Aebischer,73,CM,600,silver non-rare
Rennes,France,Ligue 1 Conforama,James Léa Siliki,73,CM,800,silver rare
Beijing Guoan,Korea Republic,Chinese FA Super L. (CHN 1),Min Jae Kim,73,CB,500,silver non-rare
Newcastle Utd,England,Premier League,Sean Longstaff,73,CM,800,silver non-rare
Nott'm Forest,Portugal,EFL Championship (ENG 2),Yuri Ribeiro,73,LB,700,silver non-rare
Marítimo,Iran,Liga NOS (POR 1),Amir Abedzadeh,73,GK,250,silver non-rare
Paços Ferreira,South Africa,Liga NOS (POR 1),Luther Singh,73,RW,450,silver non-rare
RSC Anderlecht,Panama,1A Pro League (BEL 1),Michael Murillo,73,RB,1K,silver rare
FC Augsburg,Germany,Bundesliga,Eduard Löwen,73,CM,10K,silver rare
Portimonense SC,Portugal,Liga NOS (POR 1),Pedro Sá,73,CDM,250,silver non-rare
SK Rapid Wien,Austria,Ö Bundesliga (AUT 1),Maximilian Ullmann,73,LWB,200,silver non-rare
MKE Ankaragücü,Georgia,Süper Lig (TUR 1),Saba Lobjanidze,73,LM,350,silver rare
Marítimo,Brazil,Liga NOS (POR 1),Bebeto,73,RB,0,silver non-rare
Olympiacos CFP,Portugal,Hellas Liga (GRE 1),Pedro Filipe Rodrigues,73,CM,3K,silver non-rare
FCSB,Romania,Liga I (ROM 1),Dennis Man,73,RW,250,silver non-rare
Norwich,England,EFL Championship (ENG 2),Max Aarons,73,RB,500,silver rare
PAOK,Greece,Hellas Liga (GRE 1),Dimitris Limnios,73,RM,0,silver non-rare
PAOK,Greece,Hellas Liga (GRE 1),Alexandros Paschalakis,73,GK,350,silver rare
FC Barcelona,Spain,LaLiga Santander,Carles Pérez Sayol,73,RM,0,silver rare
Standard Liège,Belgium,1A Pro League (BEL 1),Zinho Vanheusden,73,CB,550,silver rare
R. Oviedo,Spain,LaLiga SmartBank (ESP 2),Borja Sánchez Laborde,73,CAM,400,silver non-rare
Villarreal CF,Spain,LaLiga Santander,Dani Raba,73,RM,550,silver non-rare
Sampdoria,Denmark,Serie A TIM,Mikkel Damsgaard,73,LW,700,silver non-rare
PSV,Brazil,Eredivisie (NED 1),Mauro Júnior,73,CAM,500,silver rare
Dijon FCO,France,Ligue 1 Conforama,Mounir Chouiar,73,LM,700,silver non-rare
Rangers,Croatia,Scottish Premiership (SPFL),Borna Barišić,73,LB,1.7K,silver rare
Kaizer Chiefs,Nigeria,South African FL (RSA 1),Daniel Akpeyi,73,GK,350,silver rare
OGC Nice,France,Ligue 1 Conforama,Stanley Nsoki,73,LB,800,silver rare
SC Braga,Portugal,Liga NOS (POR 1),Tiago Magalhães de Sá,73,GK,350,silver non-rare
VfB Stuttgart,Greece,Bundesliga,Konstantinos Mavropanos,73,CB,800,silver rare
Vissel Kobe,Brazil,Meiji Yasuda J1 (JPN 1),Douglas Chagas Matos,73,ST,350,silver rare
Sint-Truiden,New Zealand,1A Pro League (BEL 1),Liberato Cacace,73,LB,600,silver rare
Sporting CP,Portugal,Liga NOS (POR 1),Rafael Camacho,73,RW,500,silver rare
Sporting CP,Spain,Liga NOS (POR 1),Pedro Porro,73,RB,600,silver rare
Fenerbahçe,Turkey,Süper Lig (TUR 1),Altay Bayındır,73,GK,750,silver rare
CA Osasuna,Spain,LaLiga Santander,Enrique Gallego Puigsech,73,ST,500,silver rare
Birmingham City,Croatia,EFL Championship (ENG 2),Ivan Šunjić,73,CDM,400,silver rare
Union Berlin,Germany,Bundesliga,Marius Bülter,73,LW,1.7K,silver rare
Viktoria Plzeň,Czech Republic,Česká Liga (CZE 1),Aleš Čermák,73,CAM,350,silver rare
Sporting CP,Portugal,Liga NOS (POR 1),Ivanildo Jorge Mendes Fernandes,73,CB,0,silver rare
Necaxa,Paraguay,LIGA BBVA MX (MEX 1),Julio González,73,RB,550,silver non-rare
Dynamo Kyiv,Ukraine,Ukrayina Liha (UKR 1),Denys Popov,73,CB,650,silver rare
Bordeaux,Croatia,Ligue 1 Conforama,Toma Bašić,73,CM,650,silver rare
SL Benfica,Portugal,Liga NOS (POR 1),Franco Tavares,73,RB,6K,silver rare
Vélez Sarsfield,Argentina,CONMEBOL Sudamericana,Thiago Almada,73,CAM,1.4K,sudamericana silver rare
Trabzonspor,Turkey,Süper Lig (TUR 1),Abdulkadir Parmak,73,CM,950,silver rare
AS Monaco,France,Ligue 1 Conforama,Youssouf Fofana,73,CM,800,silver rare
Cagliari,Bulgaria,Serie A TIM,Despodov,73,RM,25K,silver rare
Norwich,Germany,EFL Championship (ENG 2),Lukas Rupp,73,CM,650,silver rare
Stade de Reims,France,Ligue 1 Conforama,Boulaye Dia,73,ST,700,silver rare
Banfield,Argentina,Primera División (ARG 1),Agustín Urzi,73,LM,350,silver rare
Real Sociedad,Spain,LaLiga Santander,Ander Barrenetxea,73,LW,500,silver rare
Real Sociedad,Spain,LaLiga Santander,Aihen Muñoz Capellán,73,LB,700,silver non-rare
Shakhtar Donetsk,Israel,Ukrayina Liha (UKR 1),Manor Solomon,73,RM,800,silver non-rare
Sparta Praha,Czech Republic,Česká Liga (CZE 1),Matěj Hanousek,73,LB,350,silver rare
Guangzhou R&F,Israel,Chinese FA Super L. (CHN 1),Dia Saba,73,CAM,1K,silver rare
CA Osasuna,Spain,LaLiga Santander,Jon Moncayola Tollar,73,CDM,900,silver non-rare
Slavia Praha,Czech Republic,Česká Liga (CZE 1),Tomáš Holeš,73,CDM,550,silver rare
PAOK,Serbia,Hellas Liga (GRE 1),Zivkovic,73,GK,350,silver rare
FC Porto,Portugal,Liga NOS (POR 1),Romário Manuel Silva Baró,73,RM,2.8K,silver non-rare
Olimpia,Paraguay,CONMEBOL Libertadores,Roque Santa Cruz,73,ST,1K,libertadores_b silver rare
Real Salt Lake,Italy,Major League Soccer (MLS),Giuseppe Rossi,73,ST,750,silver rare
SC Braga,Portugal,Liga NOS (POR 1),Rolando Jorge Pires da Fonseca,73,CB,400,silver rare
Peñarol,Uruguay,CONMEBOL Libertadores,Cristian Rodríguez,73,CAM,1.5K,libertadores_b silver rare
Antalyaspor,Russia,Süper Lig (TUR 1),Fedor Kudryashov,73,LB,800,silver non-rare
Hatayspor,Portugal,Süper Lig (TUR 1),Rúben Tiago Rodrigues Ribeiro,73,LW,500,silver rare
Boca Juniors,Peru,CONMEBOL Libertadores,Carlos Zambrano,73,CB,1.9K,libertadores_b silver rare
Olimpia,Uruguay,CONMEBOL Libertadores,Tabaré Viúdez,73,RM,750,libertadores_b silver rare
Al Ittihad,Côte d'Ivoire,MBS Pro League (SAU 1),Wilfried Bony,73,ST,1.4K,silver rare
UD Almería,Serbia,LaLiga SmartBank (ESP 2),Radosav Petrović,73,CDM,350,silver rare
AC Monza,Italy,Calcio B (ITA 2),Giulio Donati,73,RB,350,silver rare
Libertad,Uruguay,CONMEBOL Libertadores,Martín Silva,73,GK,800,libertadores_b silver rare
Tigres,Uruguay,LIGA BBVA MX (MEX 1),Nicolas López,73,CAM,400,silver rare
Colo-Colo,Chile,CONMEBOL Libertadores,Leonardo Valencia,73,CAM,1.2K,libertadores_b silver rare
Orlando City,Peru,Major League Soccer (MLS),Pedro Gallese,73,GK,300,silver non-rare
Colorado Rapids,Denmark,Major League Soccer (MLS),Younes Namli,73,CAM,350,silver rare
Çaykur Rizespor,Nigeria,Süper Lig (TUR 1),Aminu Umar,73,LM,300,silver non-rare
Uni. Católica,Argentina,CONMEBOL Libertadores,Fernando Zampedri,73,ST,1K,libertadores_b silver rare
Al Faisaly,Brazil,MBS Pro League (SAU 1),Guilherme A. Vieira dos Santos,73,LM,500,silver non-rare
Peñarol,Uruguay,CONMEBOL Libertadores,David Terans,73,LM,700,libertadores_b silver rare
Nacional,Uruguay,CONMEBOL Libertadores,Rodrigo Amaral,73,CAM,2.1K,libertadores_b silver rare
Viktoria Plzeň,Czech Republic,Česká Liga (CZE 1),Pavel Bucha,73,CM,400,silver rare
Peñarol,Uruguay,CONMEBOL Libertadores,Giovanni González,73,RB,1.1K,libertadores_b silver rare
Nacional,Uruguay,CONMEBOL Libertadores,Guzmán Corujo,73,CB,1.9K,libertadores_b silver rare
Independiente,Ecuador,CONMEBOL Libertadores,Jorge Pinos,73,GK,750,libertadores_b silver rare
Slavia Praha,Liberia,Česká Liga (CZE 1),Oscar Dorley,73,CDM,400,silver rare
Minnesota United,Sierra Leone,Major League Soccer (MLS),Kei Kamara,73,ST,3.1K,silver rare
Tianjin TEDA,Uzbekistan,Chinese FA Super L. (CHN 1),Odil Akhmedov,73,CM,900,silver rare
Torino,Italy,Serie A TIM,Nicola Murru,73,LB,2.5K,silver non-rare
FC Luzern,Austria,Raiffeisen Super L. (SUI 1),Louis Schaub,73,CAM,350,silver rare
Middlesbrough,England,EFL Championship (ENG 2),Chuba Akpom,73,ST,500,silver rare
Fenerbahçe,Congo DR,Süper Lig (TUR 1),Marcel Tisserand,73,CB,650,silver rare
AD Alcorcón,Venezuela,LaLiga SmartBank (ESP 2),Víctor García,73,RB,200,silver non-rare
Brentford,Iran,EFL Championship (ENG 2),Saman Ghoddos,73,LW,1.1K,silver rare
1. FC Köln,Greece,Bundesliga,Dimitris Limnios,73,RM,700,silver non-rare
Roma FC,Spain,Serie A TIM,Carles Pérez Sayol,73,RM,1.6K,silver rare
Yeni Malatyaspor,Turkey,Süper Lig (TUR 1),Adem Büyük,73,LM,350,silver non-rare
Birmingham City,Philippines,EFL Championship (ENG 2),Neil Etheridge,73,GK,450,silver rare
Al Faisaly,Cape Verde Islands,MBS Pro League (SAU 1),Júlio Carolino Tavares,73,ST,350,silver rare
Fulham,Nigeria,Premier League,Ola Aina,73,LM,900,silver rare
Genoa,Slovenia,Serie A TIM,Miha Zajc,73,CAM,600,silver rare
CD Tondela,Brazil,Liga NOS (POR 1),Roberto Jesus Machado Beto Alves,73,RB,950,silver non-rare
Shijiazhuang,Brazil,Chinese FA Super L. (CHN 1),Luiz Guilherme da Conceição Silva,73,ST,600,silver rare
Sivasspor,Burkina Faso,Süper Lig (TUR 1),Abdou Razack Traoré,73,CAM,850,silver rare
Henan Jianye,Brazil,Chinese FA Super L. (CHN 1),José Henrique da Silva Dourado,73,ST,600,silver rare
Royal Antwerp FC,Iran,1A Pro League (BEL 1),Alireza Beiranvand,73,GK,350,silver rare
Dynamo Kyiv,Ukraine,Ukrayina Liha (UKR 1),Bogdan Lednev,73,CAM,500,silver rare
Watford,Nigeria,EFL Championship (ENG 2),William Troost-Ekong,73,CB,400,silver rare
Independiente,Uruguay,CONMEBOL Sudamericana,Sebastián Sosa,73,GK,1.1K,sudamericana silver rare
Nîmes Olympique,France,Ligue 1 Conforama,Patrick Burner,73,RB,600,silver non-rare
Karagümrük SK,France,Süper Lig (TUR 1),Yannis Salibur,73,RM,800,silver rare
Hertha Berlin,Germany,Bundesliga,Eduard Löwen,73,CM,750,silver rare
D. Alavés,Portugal,LaLiga Santander,Franco Tavares,73,RB,2K,silver rare
Rennes,Brazil,Ligue 1 Conforama,Dalbert,73,LM,700,silver rare
Fenerbahçe,Greece,Süper Lig (TUR 1),Dimitrios Pelkas,73,CAM,600,silver rare
Beşiktaş,Algeria,Süper Lig (TUR 1),Rachid Ghezzal,73,RW,900,silver rare
FC Nantes,France,Ligue 1 Conforama,Jean-Kévin Augustin,73,ST,700,silver rare
SD Huesca,Spain,LaLiga Santander,Sandro,73,ST,1.8K,silver rare
Excel Mouscron,Cape Verde Islands,1A Pro League (BEL 1),Nuno da Costa,73,ST,400,silver rare
Hannover 96,Guinea,Bundesliga 2 (GER 2),Simon Falette,73,CB,400,silver rare
CD Tenerife,Spain,LaLiga SmartBank (ESP 2),Fran Sol,73,ST,450,silver rare
Elche CF,Argentina,LaLiga Santander,Guido Carrillo,73,ST,700,silver rare
Troyes,France,Ligue 2 (FRA 2),Tristan Dingomé,73,CAM,1.2K,silver rare
Chievo Verona,Italy,Calcio B (ITA 2),Amato Ciciretti,73,RW,1.1K,silver rare
FC Dinamo 1948,Spain,Liga I (ROM 1),Aleix García,73,CAM,900,silver rare
Inter Miami CF,Argentina,Major League Soccer (MLS),Federico Higuaín,73,CAM,1K,silver rare
Al Shabab,Chile,MBS Pro League (SAU 1),Igor Lichnovsky,73,CB,450,silver rare
Middlesbrough,England,EFL Championship (ENG 2),Patrick Roberts,73,RW,850,silver rare
West Brom,England,Premier League,Karlan Grant,73,LM,3.6K,silver rare
SL Benfica,Serbia,Liga NOS (POR 1),Andrija Živkovic,73,RM,0,silver rare
Cagliari,Brazil,Serie A TIM,Rafael,73,GK,0,silver rare
PAOK,Serbia,Hellas Liga (GRE 1),Andrija Živković,73,RM,0,silver rare
AEK Athens,Sweden,Hellas Liga (GRE 1),Muamer Tanković,73,LW,400,silver non-rare
Hammarby IF,Sweden,Allsvenskan (SWE 1),Muamer Tankovic,73,LW,0,silver non-rare
La Spezia,Brazil,Serie A TIM,Rafael,73,GK,0,silver rare
1860 München,Germany,3. Liga (GER 3),Dennis Dressel,73,CM,0,if silver rare
Boca Juniors,Argentina,CONMEBOL Libertadores,Diego González,73,CM,2.4K,libertadores_b silver rare
Dinamo Zagreb,Croatia,Liga Hrvatska (CRO 1),Josip Mišic,73,CM,400,silver rare
Shanghai Shenhua,Ecuador,Chinese FA Super L. (CHN 1),Miler Bolaños,73,RM,400,silver non-rare
Defensa,Argentina,CONMEBOL Libertadores,Emanuel Brítez,73,LB,1K,libertadores_b silver rare
Talleres,Argentina,Primera División (ARG 1),Carlos Auzqui,73,RW,1.5K,silver rare
Chelsea,Belgium,Premier League,Musonda,73,RM,0,silver rare
Exeter City,England,EFL League Two (ENG 4),Ryan Bowman,73,ST,26.75K,if silver rare
Racing Club,Paraguay,CONMEBOL Libertadores,Melgarejo,73,RW,0,libertadores_b silver rare
KV Kortrijk,Australia,1A Pro League (BEL 1),Sainsbury,73,CB,450,silver rare
FK Haugesund,Senegal,Eliteserien (NOR 1),Ibrahima Wadji,73,ST,29.5K,if silver rare
Mansfield Town,England,EFL League Two (ENG 4),Jordan Bowery,73,LW,25K,if silver rare
Tigres,Paraguay,LIGA BBVA MX (MEX 1),Carlos González,73,ST,450,silver rare
Club Brugge,Netherlands,1A Pro League (BEL 1),Stefano Denswil,73,CB,750,silver rare
Cruz Azul,Argentina,LIGA BBVA MX (MEX 1),Walter Montoya,73,RM,500,silver rare
América,Peru,LIGA BBVA MX (MEX 1),Pedro Aquino,73,CDM,450,silver non-rare
PAOK,Czech Republic,Hellas Liga (GRE 1),Michael Krmencík,73,ST,350,silver rare
Amiens SC,France,Ligue 2 (FRA 2),Eddy Gnahoré,73,CM,2.2K,silver rare
Atlas,Argentina,LIGA BBVA MX (MEX 1),Milton Caraglio,73,ST,350,silver rare
Toulouse FC,Sweden,Ligue 2 (FRA 2),Isak Pettersson,73,GK,500,silver rare
Toulouse FC,Belgium,Ligue 2 (FRA 2),Sebastien Dewaest,73,CB,550,silver rare
Atlético de San Luis,Colombia,LIGA BBVA MX (MEX 1),Jhon Duque,73,CDM,700,silver non-rare
UD Almería,Portugal,LaLiga SmartBank (ESP 2),Ivanildo Jorge Mendes Fernandes,73,CB,350,silver rare
Clermont,France,Ligue 2 (FRA 2),Mohamed Bayo,73,ST,28.75K,if silver rare
Leverkusen,Netherlands,Bundesliga,Timothy Fosu-Mensah,73,RB,950,silver non-rare
SD Eibar,Spain,LaLiga Santander,Aleix García,73,CAM,750,silver rare
Lecce,Italy,Calcio B (ITA 2),Fabio Pisacane,73,CB,450,silver rare
OH Leuven,Belgium,1A Pro League (BEL 1),Siebe Schrijvers,73,ST,550,silver rare
Kasimpaşa,England,Süper Lig (TUR 1),Danny Drinkwater,73,CM,500,silver rare
Farense,Portugal,Liga NOS (POR 1),Franco Tavares,73,RB,350,silver rare
Levante UD,Spain,LaLiga Santander,Daniel Cárdenas Lindez,73,GK,13K,motm silver rare
Atalanta,Ukraine,Serie A TIM,Viktor Kovalenko,73,CAM,1K,silver rare
Granada CF,Spain,LaLiga Santander,Adrián Marín,73,LB,700,silver rare
Watford,England,EFL Championship (ENG 2),Dan Gosling,73,CM,600,silver non-rare
OM,France,Ligue 1 Conforama,Olivier Ntcham,73,CM,1.5K,silver rare
FC Augsburg,Slovakia,Bundesliga,László Bénes,73,CM,750,silver rare
Parma,Romania,Serie A TIM,Dennis Man,73,RW,950,silver non-rare
Rio Ave FC,Portugal,Liga NOS (POR 1),Rafael Camacho,73,RW,350,silver rare
FC København,Denmark,3F Superliga (DEN 1),Lukas Lerager,73,CM,200,silver non-rare
FC Midtjylland,Denmark,3F Superliga (DEN 1),Jonas Lössl,73,GK,400,silver rare
Santos Laguna,Colombia,LIGA BBVA MX (MEX 1),Andrés Ibargüen,73,LM,350,silver rare
Amiens SC,Senegal,Ligue 2 (FRA 2),Racine Coly,73,LB,550,silver rare
FC Famalicão,Portugal,Liga NOS (POR 1),Pedro Filipe Rodrigues,73,CM,300,silver non-rare
Derby County,England,EFL Championship (ENG 2),Patrick Roberts,73,RW,900,silver rare
SV Sandhausen,Greece,Bundesliga 2 (GER 2),Stefanos Kapino,73,GK,350,silver rare
Swansea City,United States,EFL Championship (ENG 2),Paul Arriola,73,RM,300,silver non-rare
Crotone,Italy,Serie A TIM,Samuel Di Carmine,73,ST,1K,silver rare
FC Cartagena,Spain,LaLiga SmartBank (ESP 2),Raúl Navas,73,CB,450,silver rare
BB Erzurumspor,Morocco,Süper Lig (TUR 1),Zakarya Bergdich,73,LB,1.2K,silver rare
Göztepe,FYR Macedonia,Süper Lig (TUR 1),Adis Jahovic,73,ST,500,silver rare
Al Fateh,Algeria,MBS Pro League (SAU 1),Hillal Soudani,73,CAM,350,silver rare
Accrington,Northern Ireland,EFL League One (ENG 3),Charles,73,ST,27K,if silver rare
Milan,Belgium,Serie A TIM,Alexis Saelemaekers,72,RW,1.4K,silver rare
Gaziantep,Romania,Süper Lig (TUR 1),Alexandru Maxim,72,CAM,450,silver rare
FC Metz,Algeria,Ligue 1 Conforama,Farid Boulaya,72,RW,800,silver rare
Preston,England,EFL Championship (ENG 2),Tom Barkhuizen,72,RM,600,silver rare
Pumas,Paraguay,LIGA BBVA MX (MEX 1),Juan Iturbe,72,RM,350,silver rare
Ajax,Netherlands,Eredivisie (NED 1),Maarten Stekelenburg,72,GK,500,silver rare
Rio Ave FC,Portugal,Liga NOS (POR 1),Ricardo José Monteiro,72,CM,200,silver non-rare
OM,France,Ligue 1 Conforama,Yohann Pelé,72,GK,500,silver rare
Genoa,FYR Macedonia,Serie A TIM,Goran Pandev,72,ST,1K,silver rare
Parma,Portugal,Serie A TIM,Bruno Alves,72,CB,4.8K,silver rare
River Plate,Argentina,CONMEBOL Libertadores,Germán Lux,72,GK,800,libertadores_b silver rare
Argentinos Jrs.,Uruguay,CONMEBOL Sudamericana,Santiago Silva,72,ST,5.4K,sudamericana silver rare
Derby County,Scotland,EFL Championship (ENG 2),David Marshall,72,GK,350,silver non-rare
Zulte Waregem,Belgium,1A Pro League (BEL 1),Sammy Bossut,72,GK,300,silver non-rare
Antalyaspor,Turkey,Süper Lig (TUR 1),Eren Albayrak,72,LB,800,silver rare
Crotone,Italy,Serie A TIM,Alex Cordaz,72,GK,950,silver non-rare
Rennes,France,Ligue 1 Conforama,Romain Salin,72,GK,450,silver rare
Rangers,Northern Ireland,Scottish Premiership (SPFL),Steven Davis,72,CM,350,silver rare
Huracán,Argentina,CONMEBOL Sudamericana,Renato Civelli,72,CB,1.4K,sudamericana silver rare
Millwall,Poland,EFL Championship (ENG 2),Bartosz Białkowski,72,GK,400,silver rare
Aberdeen,England,Scottish Premiership (SPFL),Joe Lewis,72,GK,400,silver rare
Helsingborgs IF,Sweden,Allsvenskan (SWE 1),Andreas Granqvist,72,CB,500,silver rare
SD Huesca,Spain,LaLiga Santander,Pedro López,72,RB,1.1K,silver rare
RB Leipzig,Germany,Bundesliga,Philipp Tschauner,72,GK,2.5K,silver rare
Malmö FF,Sweden,Allsvenskan (SWE 1),Johan Dahlin,72,GK,350,silver rare
Atlanta United,United States,Major League Soccer (MLS),Brad Guzan,72,GK,400,silver non-rare
Al Nassr,Australia,MBS Pro League (SAU 1),Brad Jones,72,GK,500,silver rare
Rayo Vallecano,Portugal,LaLiga SmartBank (ESP 2),Bebé,72,LM,350,silver rare
Tigres,Mexico,LIGA BBVA MX (MEX 1),Jorge Torres Nilo,72,LB,700,silver rare
Hellas Verona,Italy,Serie A TIM,Salvatore Bocchetti,72,CB,0,silver non-rare
Nott'm Forest,England,EFL Championship (ENG 2),Luke Freeman,72,CAM,500,silver rare
Preston,England,EFL Championship (ENG 2),Scott Sinclair,72,LM,500,silver non-rare
UD Las Palmas,Spain,LaLiga SmartBank (ESP 2),De la Bella,72,LB,0,silver non-rare
Benevento,Finland,Serie A TIM,Perparim Hetemaj,72,CM,1.4K,silver non-rare
Cardiff City,Côte d'Ivoire,EFL Championship (ENG 2),Souleymane Bamba,72,CB,500,silver rare
Lecce,Italy,Calcio B (ITA 2),Marco Mancosu,72,CAM,450,silver non-rare
Sheffield Wed,Republic of Ireland,EFL Championship (ENG 2),Keiren Westwood,72,GK,300,silver non-rare
Nashville SC,United States,Major League Soccer (MLS),Dax McCarty,72,CDM,350,silver non-rare
Guangzhou R&F,Serbia,Chinese FA Super L. (CHN 1),Duško Tošic,72,CB,850,silver rare
Karagümrük SK,Turkey,Süper Lig (TUR 1),Mevlüt Erdinç,72,ST,750,silver rare
Colón,Uruguay,Primera División (ARG 1),Leonardo Burián,72,GK,450,silver non-rare
América de Cali,Colombia,CONMEBOL Libertadores,Adrián Ramos,72,ST,1.3K,libertadores_b silver rare
Santa Clara,Portugal,Liga NOS (POR 1),Marco André Rocha Pereira,72,GK,350,silver rare
